"id","firstName","lastName","club","districtNum","birthDate","fullName","age","totalVotings","totalVoted","totalMissed","totalExcused","salary_bonus_factor","attendance_rate","monthly_salary","total_earnings_est","cost_per_vote"
1,"Andrzej","Adamczyk","PiS",13,"1959-01-04","Andrzej Adamczyk",66,3217,2931,286,11,0.15,0.914516630400995,20328.1475,527570.188074901,179.996652362641
2,"Piotr","Adamowicz","KO",25,"1961-06-26","Piotr Adamowicz",64,3217,3195,22,4,0.2,0.994404724898974,21211.98,550508.022339027,172.302980387802
4,"Waldemar","Andzel","PiS",32,"1971-09-17","Waldemar Andzel",54,3217,3177,40,1,0.15,0.987876903947777,20328.1475,527570.188074901,166.05923452153
5,"Dorota","Arciszewska-Mielewczyk","PiS",26,"1968-02-16","Dorota Arciszewska-Mielewczyk",57,3217,2939,278,10,0,0.91669257071806,17676.65,458756.685282523,156.092781654482
6,"Jan","Ardanowski","Republikanie",5,"1961-02-11","Jan Ardanowski",64,3217,2796,421,7,0,0.871308672676407,17676.65,458756.685282523,164.076067697612
7,"Iwona","Arent","PiS",35,"1968-06-04","Iwona Arent",57,3217,2704,513,18,0.15,0.84612993472179,20328.1475,527570.188074901,195.107318075037
9,"Marek","Ast","PiS",8,"1958-09-27","Marek Ast",67,3217,3059,158,10,0.2,0.953994404724899,21211.98,550508.022339027,179.963394030411
10,"Urszula","Augustyn","KO",15,"1964-09-01","Urszula Augustyn",61,3217,3213,4,0,0.15,0.998756605533105,20328.1475,527570.188074901,164.198626851821
11,"Piotr","Babinetz","PiS",22,"1969-09-09","Piotr Babinetz",56,3217,2960,257,9,0,0.922909543052533,17676.65,458756.685282523,154.985366649501
12,"Ryszard","Bartosik","PiS",37,"1968-01-11","Ryszard Bartosik",57,3217,3104,113,6,0,0.966739198010569,17676.65,458756.685282523,147.795323866792
13,"Władysław","Bartoszewski","PSL-TD",19,"1955-10-22","Władysław Bartoszewski",70,3217,3075,142,10,0,0.958967982592478,17676.65,458756.685282523,149.189165945536
14,"Barbara","Bartuś","PiS",14,"1967-07-03","Barbara Bartuś",58,3217,3174,43,1,0.15,0.986944358097607,20328.1475,527570.188074901,166.216190319755
15,"Paweł","Bejda","PSL-TD",11,"1962-10-13","Paweł Bejda",63,3217,3091,126,4,0,0.962076468759714,17676.65,458756.685282523,148.416915329189
16,"Konrad","Berkowicz","Konfederacja",13,"1984-05-27","Konrad Berkowicz",41,3217,2579,638,30,0.15,0.811004041032017,20328.1475,527570.188074901,204.563857338077
17,"Sylwia","Bielawska","KO",2,"1975-04-27","Sylwia Bielawska",50,3217,3216,1,0,0,0.999689151383276,17676.65,458756.685282523,142.64822303561
18,"Marek","Biernacki","PSL-TD",26,"1959-04-28","Marek Biernacki",66,3217,3100,117,3,0,0.964563257693503,17676.65,458756.685282523,147.986027510491
19,"Paweł","Bliźniuk","KO",9,"1986-10-11","Paweł Bliźniuk",39,3217,3211,6,0,0,0.998134908299658,17676.65,458756.685282523,142.870347331835
20,"Mariusz","Błaszczak","PiS",20,"1969-09-19","Mariusz Błaszczak",56,3217,3096,121,3,0,0.963319863226609,17676.65,458756.685282523,148.177223928463
21,"Mateusz","Bochenek","KO",32,"1993-03-12","Mateusz Bochenek",32,3217,3216,1,0,0.15,0.999689151383276,20328.1475,527570.188074901,164.045456490952
22,"Rafał","Bochenek","PiS",12,"1986-08-14","Rafał Bochenek",39,3217,3127,90,1,0.2,0.972334473111595,21211.98,550508.022339027,176.049895215551
23,"Izabela","Bodnar","niez.",3,"1975-02-13","Izabela Bodnar",50,3217,3051,166,12,0,0.952129313024557,17676.65,458756.685282523,150.362728706169
24,"Jacek","Bogucki","PiS",24,"1959-02-13","Jacek Bogucki",66,3217,2895,322,5,0,0.901460988498601,17676.65,458756.685282523,158.465176263393
26,"Krzysztof","Bojarski","KO",6,"1968-07-11","Krzysztof Bojarski",57,3217,3081,136,0,0,0.957724588125583,17676.65,458756.685282523,148.898632029381
27,"Joanna","Borowiak","PiS",5,"1967-08-20","Joanna Borowiak",58,3217,3181,36,3,0.2,0.989741995648119,21211.98,550508.022339027,173.061308500166
28,"Kamil","Bortniczuk","PiS",16,"1983-06-11","Kamil Bortniczuk",42,3217,2723,494,11,0.15,0.849860118122474,20328.1475,527570.188074901,193.745937596365
29,"Piotr","Borys","KO",1,"1976-01-11","Piotr Borys",49,3217,3113,104,1,0,0.967982592477463,17676.65,458756.685282523,147.368032535343
30,"Bożena","Borys-Szopa","PiS",29,"1954-03-11","Bożena Borys-Szopa",71,3217,3189,28,0,0,0.991296238731738,17676.65,458756.685282523,143.855969044378
31,"Marcin","Bosacki","KO",39,"1970-11-05","Marcin Bosacki",55,3217,2827,390,9,0,0.881566677028287,17676.65,458756.685282523,162.27686072958
32,"Karina","Bosak","Konfederacja",20,"1988-07-08","Karina Bosak",37,3217,2744,473,47,0,0.867578489275723,17676.65,458756.685282523,167.185380933864
33,"Krzysztof","Bosak","Konfederacja",24,"1982-06-13","Krzysztof Bosak",43,3217,2925,292,119,0,0.946223189306808,17676.65,458756.685282523,156.839892404281
36,"Agnieszka","Buczyńska","Polska2050",25,"1986-09-22","Agnieszka Buczyńska",39,3217,2503,714,30,0,0.78737954616102,17676.65,458756.685282523,183.282734831212
39,"Elżbieta","Burkiewicz","Polska2050",23,"1964-10-17","Elżbieta Burkiewicz",61,3217,3109,108,7,0.15,0.968604289710911,20328.1475,527570.188074901,169.691279535189
